"id","zh","pro","sss","ssx","zl","zm","item","ir","iw","jd","wd","jm","zz","ly","xly","class","jjsw","bzsw","xxsw","zcsw","htz","time","update_time"
"1","62414650","浙江省","衢州市","常山县","RR","千家排水库","ZP","1","1","118.30603","28.884972",,,"鄱阳湖",,,,,,"216.6",,,"2/12/2021 10:57:11"
"2","62414660","浙江省","衢州市","常山县","RR","东山坞水库","PZ","1","1","118.32644","28.84415",,,"鄱阳湖",,,,,,,,,"2/12/2021 10:57:29"
"3","62414670","浙江省","衢州市","常山县","RR","张家弄水库","PZ","1","1","118.393919","28.809629",,,"钱塘江",,,,,,,,,"2/12/2021 10:56:25"
"4","62414690","浙江省","衢州市","江山市","RR","水坑垄水库","PZ","1","1","118.40611","28.770277",,,"钱塘江",,,,,,,,,"2/12/2021 10:56:43"
"5","62414710","浙江省","衢州市","江山市","RR","岭后水库","PZ","1","1","118.422956","28.762242",,,"钱塘江",,,,,,,,,"2/12/2021 10:57:02"
"6","62414720","浙江省","衢州市","江山市","RR","苏源水库","PZ","1","1","118.420833","28.687777",,,"外省河流",,,,,,,,,"2/12/2021 10:57:19"
"7","62414730","浙江省","衢州市","江山市","RR","江山龙头水库","PZ","1","1","118.431711","28.675187",,,"外省河流",,,,,,,,,"2/12/2021 10:57:38"
"8","62414740","浙江省","衢州市","江山市","RR","青口水库","PZ","1","1","118.423333","28.6075",,,"钱塘江",,,,,,,,,"2/12/2021 10:56:33"
"9","6241HC05","浙江省","衢州市","江山市","RR","尖山底水库","PZ","1","1","118.392204","28.797821",,,"鄱阳湖",,,,,,,,,"2/12/2021 10:56:51"
"10","6242HE02","浙江省","衢州市","开化县","PP","洪源","P","1","1","118.09796","29.255548",,,"鄱阳湖水系",,,,,,,,,"2/12/2021 14:03:24"
"11","62441280","浙江省","衢州市","常山县","PP","山岭","P","1","1","118.304857","28.912968",,,"外省河流",,,,,,,,,"2/12/2021 14:03:24"
"12","62441290","浙江省","衢州市","常山县","PP","常山东坑","P","1","1","118.268333","28.903611",,,"外省河流",,,,,,,,,"2/12/2021 14:03:24"
"13","62441300","浙江省","衢州市","常山县","PP","球川","P","1","1","118.316345","28.861103",,,"信江",,,,,,,,,"2/12/2021 14:03:24"
"14","62443350","浙江省","衢州市","江山市","PP","廿八都","P","1","1","118.476728","28.2947",,,"钱塘江",,,,,,,,,"2/12/2021 14:03:24"
"15","624H3900","浙江省","衢州市","江山市","RR","靑建水库","PZ","1","1","118.443054","28.607397",,,"鄱阳湖水系",,,,,,,,,"2/12/2021 10:57:09"
"16","624H4000","浙江省","衢州市","江山市","RR","坞底水库","PZ","1","1","118.43","28.563",,,"外省河流",,,,,,,,,"2/12/2021 10:57:27"
"17","624H4020","浙江省","衢州市","江山市","RR","五坞垄水库","PZ","1","1","118.425","28.56",,,"信江",,,,,,,,,"2/12/2021 10:56:23"
"18","624H4100","浙江省","衢州市","江山市","RR","南坞水库","PZ","1","1","118.436","28.535",,,"信江",,,,,,,,,"2/12/2021 10:56:41"
"19","62532330","浙江省","衢州市","开化县","PP","余村","P","1","1","118.177769","29.223357",,,"钱塘江",,,,,,,,,"2/12/2021 14:03:24"
"20","62532340","浙江省","衢州市","开化县","PP","毛坦","P","1","1","118.118933","29.177125",,,"钱塘江",,,,,,,,,"2/12/2021 14:03:24"
"21","62532350","浙江省","衢州市","开化县","PP","唐头","P","1","1","118.105214","29.223413",,,"钱塘江",,,,,,,,,"2/12/2021 14:03:24"
"22","62532360","浙江省","衢州市","开化县","PP","富户","P","1","1","118.080555","29.183333",,,"钱塘江",,,,,,,,,"2/12/2021 14:03:24"
"23","62532370","浙江省","衢州市","开化县","PP","方坡","P","1","1","118.057638","29.133408",,,"钱塘江",,,,,,,,,"2/12/2021 14:03:24"
"24","62532380","浙江省","衢州市","开化县","PP","开化上庄","P","1","1","118.07738","29.093813",,,"钱塘江",,,,,,,,,"2/12/2021 14:03:24"
"25","63000100","浙江省","杭州市","临安区","RR","里畈水库","PZ","1","1","119.60137","30.331973",,,"苕溪",,,,,,"234.7",,,"1/12/2021 18:54:49"
"26","63000110","浙江省","杭州市","临安区","ZZ","东坑溪","Z","1","1","119.59","30.4",,,"苕溪",,,,,,,,,"2/12/2021 10:57:17"
"27","63000120","浙江省","杭州市","临安区","ZZ","西坑溪","Z","1","1","119.57","30.35",,,"苕溪",,,,,,,,,"2/12/2021 10:57:35"
"28","63000200","浙江省","杭州市","临安区","ZQ","桥东村","PZ","1","1","119.62676","30.263472","85黄海","锦城街道青柯村","苕溪",,,"84.66","85.66",,,"86.81","1996-06-30","24/10/2021 14:42:54"
"29","63000201","浙江省","杭州市","临安区","ZZ","青柯电站","Z","1","1","119.631666","30.257777",,,"苕溪",,,,,,,,,"2/12/2021 10:56:49"
"30","63000300","浙江省","杭州市","临安区","PP","临安","P","1","1","119.72","30.24",,,"苕溪",,,,,,,,,"2/12/2021 14:03:24"
"31","63000350","浙江省","杭州市","临安区","ZZ","临西桥","Z","1","1","119.686666","30.234722",,,"苕溪",,,,,,,,,"2/12/2021 10:57:07"
"32","63000600","浙江省","杭州市","临安区","RR","青山水库","PZQE","1","1","119.796944","30.250555",,,"苕溪",,,,,,"25",,,"1/12/2021 18:54:49"
"33","63000604","浙江省","杭州市","临安区","ZZ","青山水库坝下","Z","1","1","119.808186","30.254767",,,"苕溪",,,,,,,,,"2/12/2021 10:56:20"
"34","63001000","浙江省","杭州市","余杭区","ZZ","余杭","PZ","1","1","119.92561","30.276304","黄海85","余杭区余杭街道太炎路","苕溪",,,"7.16","8.66",,,"9.34","1996-07-02","24/10/2021 14:42:54"
"35","63001100","浙江省","杭州市","余杭区","ZZ","何家陡门","MZ","1","1","119.94808","30.344221",,,"苕溪",,,,,,,,,"2/12/2021 10:56:57"
"36","63001200","浙江省","杭州市","余杭区","ZQ","瓶窑","PZQ","1","1","119.96491","30.397804","黄海85","余杭区瓶窑镇苕溪北路3号","苕溪",,,"5.66","6.66",,,"7.35","1999-07-01","24/10/2021 14:42:54"
"37","63001300","浙江省","杭州市","余杭区","ZZ","余杭德清交界","Z","1","1","120.060694","30.483",,,"苕溪",,,,,,,,,"2/12/2021 10:57:33"
"38","63001600","浙江省","湖州市","德清县","ZZ","德清大桥","Z","1","1","120.074713","30.548036","85黄海","乾元镇德清大桥","苕溪",,,,,,,"4.749","1999-07-01","24/10/2021 14:42:54"
"39","63002400","浙江省","湖州市","吴兴区","ZQ","杭长桥","PZ","1","1","120.077469","30.866664","85黄海","西门杭长桥","苕溪",,,"2.66","3.16",,,"3.83","2021-07-28","24/10/2021 14:42:54"
"40","63002415","浙江省","杭州市","临安区","RR","金猫坞水库","PZ","1","1","119.4975","30.256666",,,"苕溪",,,,,,,,,"2/12/2021 10:57:22"
"41","63002420","浙江省","杭州市","临安区","RR","夏村水库","PZ","1","1","119.563116","30.329876",,,"苕溪",,,,,,,,,"2/12/2021 10:57:41"
"42","63002425","浙江省","杭州市","临安区","RR","临安石壁水库","PZ","1","1","119.659444","30.270555",,,"苕溪",,,,,,,,,"2/12/2021 10:56:37"
"43","63002430","浙江省","杭州市","临安区","RR","方家头水库","PZ","1","1","119.65929","30.168996",,,"苕溪",,,,,,,,,"2/12/2021 10:56:55"
"44","63002435","浙江省","杭州市","临安区","RR","大坑坞水库","PZ","1","1","119.679214","30.13998",,,"苕溪",,,,,,,,,"2/12/2021 10:57:12"
"45","63002440","浙江省","杭州市","临安区","RR","居仁水库","PZ","1","1","119.818888","30.168611",,,"苕溪",,,,,,,,,"2/12/2021 10:57:30"
"46","63002445","浙江省","杭州市","临安区","PP","桐坑","P","1","1","119.03867","30.016346",,,"钱塘江",,,,,,,,,"2/12/2021 14:03:25"
"47","63002450","浙江省","杭州市","余杭区","RR","官塘水库","Z","1","1","119.839028","30.293193",,,"苕溪",,,,,,,,,"2/12/2021 10:56:26"
"48","63002455","浙江省","杭州市","余杭区","RR","甘岭水库","PZ","1","1","119.859662","30.30931",,,"苕溪",,,,,,,,,"2/12/2021 10:57:47"
"49","63002460","浙江省","杭州市","余杭区","RR","里坞塘水库","Z","1","1","119.8451","30.300535",,,"苕溪",,,,,,,,,"2/12/2021 10:57:03"
"50","63002465","浙江省","杭州市","余杭区","RR","外大坞水库","Z","1","1","119.855074","30.302582",,,"苕溪",,,,,,,,,"2/12/2021 10:57:20"
"51","63002500","浙江省","杭州市","余杭区","ZQ","南湖分洪闸上","PZ","1","1","119.906972","30.267194",,,"苕溪",,,,,,,,,"2/12/2021 10:57:39"
"52","63002501","浙江省","杭州市","余杭区","ZZ","南湖滞洪区","Z","1","1","119.908972","30.266916",,,"苕溪",,,,,,,,,"2/12/2021 10:56:34"
"53","63002550","浙江省","杭州市","临安区","RR","水涛庄水库","PZ","1","1","119.7099","30.344048",,,"苕溪",,,,,,"141.2",,,"1/12/2021 18:54:49"
