zly
id,lyn,nas,ty1,ty2,leng,area,ly,pro1,sss1,ssx1,xz1,cun1,pro2,sss2,ssx2,xz2,cun2,detail,pic,jst,remark,update_time
20001,FHBA1B00000M,苕溪,1,2,160,4678,,浙江省,杭州,临安市,太湖源镇,白沙村,浙江省,湖州,吴兴区,度假区,白雀塘桥,南苕溪（余杭镇以上）、东苕溪（余杭镇至太湖入湖口）、环城河长兜港（杭长桥至五港交汇处（西苕溪汇合断面）至太湖口）,,,,21/12/2021 15:15:18
20002,GA000000000S,钱塘江,1,0,609,55491,,安徽省,黄山,休宁县,龙田乡,江田村,上海市,上海市,金山区,芦潮港镇,芦潮港闸,龙田河（安徽境内）、马金溪、金溪(开化县华埠镇以上)、常山港(开化县华埠镇至衢州双港口)、衢江（衢州双港口至兰溪横山下）、兰江（兰溪至梅城）、富春江（梅城至闻家堰）、桐江（梅城至桐庐）、七里泷（梅城至桐庐）、之江（闻家堰至九溪）、杭州湾（九溪至芦潮港闸、外游山连线）,,,,21/12/2021 15:14:30
20003,GC2B0000000S,甬江,1,0,119,4522,,浙江省,宁波,余姚市,,营林队,浙江省,宁波,北仑区,小港街道,甬江水域,剡江（县江汇合断面以上）、奉化江（县江汇合断面至姚江汇合断面）,,,,21/12/2021 15:14:30
20004,GC2A0000000S,椒江,1,0,220,6672,,浙江省,台州,仙居县,安岭乡,石长坑公有山,浙江省,台州,椒江区,,琅矶山龙拖头,金坑（仙居县曹店港和永安溪汇合断面以上）、永安溪（仙居县曹店港和永安溪汇合断面以下至临海市三江村和始丰溪汇合断面以）、灵江（临海市三江村和始丰溪汇合断面至黄岩区三江汇合断面）,,,,21/12/2021 15:14:30
20005,GB000000000S,瓯江,1,0,377,18165,,浙江省,衢州,龙泉市,屏南镇,南溪村,浙江省,温州,乐清市,黄华镇,岐头村,八都溪（瑞垟溪汇合断面以上）、龙泉溪（龙泉市李家淤至莲都区大港头）、大溪（大港头至青田县湖边村）,,,,21/12/2021 15:14:30
20006,GC1B0000000S,飞云江,1,0,191,3712,,浙江省,丽水,景宁县,景南乡,忠溪村,浙江省,温州,瑞安市,南滨街道,阁二村,,,,,21/12/2021 15:14:30
20007,GC1A0000000S,鳌江,1,0,81,1426,,浙江省,温州,苍南县,桥墩镇,天井村,浙江省,温州,平阳县,,海,,,,,21/12/2021 15:14:30
20008,GA23A000000R,芝溪,1,1,23,107,GA000000000S,浙江省,衢州,衢江区,全旺镇,尚论岗村,浙江省,,龙游县,龙洲街道,后厅村,,,,,21/12/2021 15:14:30
20009,GAB1C000000L,泗渡溪,1,2,17,52.9,GAB00000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20010,GC2BC0GAA00K,盖北河,1,-1,22,0,,浙江省,绍兴,上虞市,沥海镇,钱塘江水域,浙江省,,上虞市,驿亭镇,西陡门村,,,,,21/12/2021 15:14:30
20011,GB52BAAC000P,白象河,1,-1,17,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20012,GA31A000000L,浒溪,1,1,14,52,GA000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
